Embedding Type,Round,Task,Hidden Layer Sizes,Epochs,Batch Size,Learning Rate,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,accuracy
Random,Round 1,Reference Resolution,"[300, 150]",200,32,0.0001,0.0145367986436334,0.0175104669047554,0.0145839660600191,0.0349040139616055,0.0349040139616055,0.0349040139616055,0.0349040139616055
Random,Round 2,Reference Resolution,"[300, 150]",200,32,0.0001,0.0095132432483475,0.0122720735550091,0.0102325591952205,0.0240295748613678,0.0240295748613678,0.0240295748613678,0.0240295748613678
Random,Round 3,Reference Resolution,"[300, 150]",200,32,0.0001,0.0084157113333314,0.0136085451486037,0.0098203776693447,0.0372771474878444,0.0372771474878444,0.0372771474878444,0.0372771474878444
Random,Round 4,Reference Resolution,"[300, 150]",200,32,0.0001,0.0113547238743625,0.0122966293291139,0.0115730091510419,0.0299145299145299,0.0299145299145299,0.0299145299145299,0.0299145299145299
Random,Round 5,Reference Resolution,"[300, 150]",200,32,0.0001,0.0099614708412823,0.0102752241912995,0.0092727874993019,0.0266343825665859,0.0266343825665859,0.0266343825665859,0.0266343825665859
Random,Round 6,Reference Resolution,"[300, 150]",200,32,0.0001,0.0184937611408199,0.0072344322344322,0.0087048306261387,0.029585798816568,0.029585798816568,0.029585798816568,0.029585798816568
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",200,32,0.0001,0.0874954919495012,0.0860154525190022,0.0777709337716418,0.1227457824316463,0.1227457824316463,0.1227457824316463,0.1227457824316463
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",200,32,0.0001,0.0917859153226438,0.096058254693724,0.0879359150831993,0.144177449168207,0.144177449168207,0.144177449168207,0.144177449168207
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",200,32,0.0001,0.1237129169849758,0.12432923226256,0.1174124837204519,0.1750405186385737,0.1750405186385737,0.1750405186385737,0.1750405186385737
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",200,32,0.0001,0.1632647956434333,0.1625871445889005,0.1439423206394783,0.2179487179487179,0.2179487179487179,0.2179487179487179,0.2179487179487179
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",200,32,0.0001,0.1523483112325202,0.1644486172511727,0.1448536502887329,0.2421307506053268,0.2421307506053268,0.2421307506053268,0.2421307506053268
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",200,32,0.0001,0.1456461066926183,0.1316153963881236,0.1262120293662836,0.2159763313609467,0.2159763313609467,0.2159763313609467,0.2159763313609467
Multimodal,Round 1,Reference Resolution,"[300, 150]",200,32,0.0001,0.1013242939098406,0.0944586971666179,0.0891639750388133,0.1349621873182082,0.1349621873182082,0.1349621873182082,0.1349621873182082
Multimodal,Round 2,Reference Resolution,"[300, 150]",200,32,0.0001,0.0892403226835311,0.0857968361821466,0.0788344785521457,0.1173752310536044,0.1173752310536044,0.1173752310536044,0.1173752310536044
Multimodal,Round 3,Reference Resolution,"[300, 150]",200,32,0.0001,0.2174193577174482,0.1891167491069787,0.188829732699048,0.2252836304700162,0.2252836304700162,0.2252836304700162,0.2252836304700162
Multimodal,Round 4,Reference Resolution,"[300, 150]",200,32,0.0001,0.1633294811386405,0.1625681075940591,0.1481413552324351,0.22008547008547,0.22008547008547,0.22008547008547,0.22008547008547
Multimodal,Round 5,Reference Resolution,"[300, 150]",200,32,0.0001,0.1910266624475101,0.1915426565559159,0.1726189476670341,0.2324455205811138,0.2324455205811138,0.2324455205811138,0.2324455205811138
Multimodal,Round 6,Reference Resolution,"[300, 150]",200,32,0.0001,0.1676504238389931,0.1647216796470527,0.1510085582913934,0.2189349112426035,0.2189349112426035,0.2189349112426035,0.2189349112426035
Semantic,Round 1,Reference Resolution,"[300, 150]",200,32,0.0001,0.1585983167420441,0.1367163602491339,0.1352104505875723,0.1687027341477603,0.1687027341477603,0.1687027341477603,0.1687027341477603
Semantic,Round 2,Reference Resolution,"[300, 150]",200,32,0.0001,0.2077249398215178,0.1751621762151161,0.174359769642522,0.2079482439926062,0.2079482439926062,0.2079482439926062,0.2079482439926062
Semantic,Round 3,Reference Resolution,"[300, 150]",200,32,0.0001,0.2332069532298365,0.2461727603215145,0.226609542417691,0.2755267423014587,0.2755267423014587,0.2755267423014587,0.2755267423014587
Semantic,Round 4,Reference Resolution,"[300, 150]",200,32,0.0001,0.1972605608474276,0.2158179708981848,0.1809754295117414,0.2414529914529914,0.2414529914529914,0.2414529914529914,0.2414529914529914
Semantic,Round 5,Reference Resolution,"[300, 150]",200,32,0.0001,0.2168518060275119,0.2063377050592612,0.1853217137173367,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
Semantic,Round 6,Reference Resolution,"[300, 150]",200,32,0.0001,0.1836383611186069,0.2024390172117445,0.1789952115967689,0.2485207100591716,0.2485207100591716,0.2485207100591716,0.2485207100591716
Semantic + Multimodal-X,Round 1,Reference Resolution,"[300, 150]",200,32,0.0001,0.1956707374479193,0.1764127127294516,0.1714001855744004,0.20826061663758,0.20826061663758,0.20826061663758,0.20826061663758
Semantic + Multimodal-X,Round 2,Reference Resolution,"[300, 150]",200,32,0.0001,0.2742547604403651,0.2365984071402088,0.2396440253222389,0.2707948243992606,0.2707948243992606,0.2707948243992606,0.2707948243992606
Semantic + Multimodal-X,Round 3,Reference Resolution,"[300, 150]",200,32,0.0001,0.3184969511878379,0.304711051165706,0.2946951127916944,0.3484602917341977,0.3484602917341977,0.3484602917341977,0.3484602917341977
Semantic + Multimodal-X,Round 4,Reference Resolution,"[300, 150]",200,32,0.0001,0.3117245375082366,0.3037643951414005,0.286131982356209,0.3376068376068376,0.3376068376068376,0.3376068376068376,0.3376068376068376
Semantic + Multimodal-X,Round 5,Reference Resolution,"[300, 150]",200,32,0.0001,0.2984936422974443,0.2726859360236891,0.2507582280065552,0.3438256658595641,0.3438256658595641,0.3438256658595641,0.3438256658595641
Semantic + Multimodal-X,Round 6,Reference Resolution,"[300, 150]",200,32,0.0001,0.226467988649727,0.2357583129971189,0.2118221386892908,0.3224852071005917,0.3224852071005917,0.3224852071005917,0.3224852071005917
Semantic + Multimodal,Round 1,Reference Resolution,"[300, 150]",200,32,0.0001,0.1940116877478345,0.1771077414606568,0.1726621441069406,0.2123327515997673,0.2123327515997673,0.2123327515997673,0.2123327515997673
Semantic + Multimodal,Round 2,Reference Resolution,"[300, 150]",200,32,0.0001,0.2874054089655621,0.2598844113167052,0.254694268678137,0.2865064695009242,0.2865064695009242,0.2865064695009242,0.2865064695009242
Semantic + Multimodal,Round 3,Reference Resolution,"[300, 150]",200,32,0.0001,0.3065265082578987,0.2971199768586187,0.2863985131324641,0.3387358184764992,0.3387358184764992,0.3387358184764992,0.3387358184764992
Semantic + Multimodal,Round 4,Reference Resolution,"[300, 150]",200,32,0.0001,0.3073059370584901,0.2855389269787865,0.2713384056468862,0.3226495726495726,0.3226495726495726,0.3226495726495726,0.3226495726495726
Semantic + Multimodal,Round 5,Reference Resolution,"[300, 150]",200,32,0.0001,0.2833725363330626,0.2785895915366854,0.2569929492819871,0.3341404358353511,0.3341404358353511,0.3341404358353511,0.3341404358353511
Semantic + Multimodal,Round 6,Reference Resolution,"[300, 150]",200,32,0.0001,0.2582398008377689,0.2522564187948803,0.2326842837774012,0.3224852071005917,0.3224852071005917,0.3224852071005917,0.3224852071005917
Semantic + Random,Round 1,Reference Resolution,"[300, 150]",200,32,0.0001,0.1395029679638024,0.1094864513964739,0.1116595661250056,0.1465968586387434,0.1465968586387434,0.1465968586387434,0.1465968586387434
Semantic + Random,Round 2,Reference Resolution,"[300, 150]",200,32,0.0001,0.1550713464498541,0.1400276174161875,0.136498264701219,0.1626617375231053,0.1626617375231053,0.1626617375231053,0.1626617375231053
Semantic + Random,Round 3,Reference Resolution,"[300, 150]",200,32,0.0001,0.2055790086847756,0.1916806517007159,0.1848658367019774,0.2220421393841166,0.2220421393841166,0.2220421393841166,0.2220421393841166
Semantic + Random,Round 4,Reference Resolution,"[300, 150]",200,32,0.0001,0.2075046808920431,0.1772966709464035,0.167944483677965,0.2158119658119658,0.2158119658119658,0.2158119658119658,0.2158119658119658
Semantic + Random,Round 5,Reference Resolution,"[300, 150]",200,32,0.0001,0.190267389692748,0.1527631929572623,0.1429290058448879,0.2203389830508474,0.2203389830508474,0.2203389830508474,0.2203389830508474
Semantic + Random,Round 6,Reference Resolution,"[300, 150]",200,32,0.0001,0.1887203592427472,0.1742253600462555,0.1677177904526456,0.2100591715976331,0.2100591715976331,0.2100591715976331,0.2100591715976331
Semantic + Unimodal,Round 1,Reference Resolution,"[300, 150]",200,32,0.0001,0.1559689736486464,0.133483894699277,0.1323724637807038,0.1733566026759744,0.1733566026759744,0.1733566026759744,0.1733566026759744
Semantic + Unimodal,Round 2,Reference Resolution,"[300, 150]",200,32,0.0001,0.2740479208355923,0.2419752060100998,0.2468101463421366,0.2763401109057301,0.2763401109057301,0.2763401109057301,0.2763401109057301
Semantic + Unimodal,Round 3,Reference Resolution,"[300, 150]",200,32,0.0001,0.2601239449282351,0.2655774497929393,0.2485819001487174,0.2965964343598055,0.2965964343598055,0.2965964343598055,0.2965964343598055
Semantic + Unimodal,Round 4,Reference Resolution,"[300, 150]",200,32,0.0001,0.2985308428068609,0.2650794906451015,0.252533445309005,0.3034188034188034,0.3034188034188034,0.3034188034188034,0.3034188034188034
Semantic + Unimodal,Round 5,Reference Resolution,"[300, 150]",200,32,0.0001,0.2932388867171476,0.2757754804262287,0.2571251997140713,0.3196125907990315,0.3196125907990315,0.3196125907990315,0.3196125907990315
Semantic + Unimodal,Round 6,Reference Resolution,"[300, 150]",200,32,0.0001,0.2810903497900046,0.2337589598953235,0.231245805322631,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077
Unimodal,Round 1,Reference Resolution,"[300, 150]",200,32,0.0001,0.0749166306448596,0.0667216694693001,0.0645797395881077,0.0959860383944153,0.0959860383944153,0.0959860383944153,0.0959860383944153
Unimodal,Round 2,Reference Resolution,"[300, 150]",200,32,0.0001,0.0882270035728682,0.0847825483880153,0.0816230435531573,0.1155268022181146,0.1155268022181146,0.1155268022181146,0.1155268022181146
Unimodal,Round 3,Reference Resolution,"[300, 150]",200,32,0.0001,0.1449675092203775,0.1393504669487815,0.1329212823880185,0.1717990275526742,0.1717990275526742,0.1717990275526742,0.1717990275526742
Unimodal,Round 4,Reference Resolution,"[300, 150]",200,32,0.0001,0.1230453383461761,0.1314123684259431,0.1192755392111699,0.1858974358974359,0.1858974358974359,0.1858974358974359,0.1858974358974359
Unimodal,Round 5,Reference Resolution,"[300, 150]",200,32,0.0001,0.1386427173991112,0.1604387830641446,0.1385858936752954,0.1815980629539951,0.1815980629539951,0.1815980629539951,0.1815980629539951
Unimodal,Round 6,Reference Resolution,"[300, 150]",200,32,0.0001,0.1324620678466832,0.1482931171392709,0.1317780328081662,0.2011834319526627,0.2011834319526627,0.2011834319526627,0.2011834319526627
